,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.014901512,1780.997313,5610.141535,27.62224293,1.496037341,2190.625803,5.111048048,0.18862786,2.62421E-05,0.112423348,0.11244959
2,200,270,0.021510912,2655.860111,8365.95935,40.74488084,2.230920595,3266.712059,6.846301548,0.266169074,3.52736E-05,0.183117121,0.183152395
3,250,280,0.02589353,3233.665023,10186.04482,47.29552586,2.716284569,3977.406075,7.588872932,0.290429677,3.62978E-05,0.230832778,0.230869075
4,500,360,0.047183414,5641.322328,17770.16533,72.34373231,4.738715965,6938.823287,11.44309676,0.419184007,4.31152E-05,0.464475124,0.464518239
5,750,380,0.068873074,8027.766898,25287.46573,95.99489019,6.743318326,9874.145193,14.56303596,0.533158205,4.49133E-05,0.730907729,0.730952642
6,1000,400,0.090497252,10230.05794,32224.68251,116.3084187,8.593250973,12582.97695,17.26015599,0.659144438,4.66119E-05,1.028799315,1.028845926
7,1500,420,0.133780765,14746.84312,46452.55582,158.6891723,12.38730889,18138.55665,22.30164546,0.915517307,4.84441E-05,1.657291641,1.657340085
8,2000,420,0.177131388,19556.35478,61602.51757,205.907996,16.42731005,24054.26149,27.91155605,1.13873285,4.85609E-05,2.226576846,2.226625407
9,2500,420,0.220358318,24200.91601,76232.88543,249.8501924,20.32875728,29767.19932,33.42493608,1.360931232,4.83609E-05,2.797690054,2.797738415
10,3000,420,0.26371005,29083.51531,91613.07324,298.3740831,24.43011915,35772.79518,39.08038629,1.583454795,4.85161E-05,3.3646901,3.364738616
11,3500,420,0.306944222,33730.62152,106251.4578,342.3607418,28.33370516,41488.63579,44.60743502,1.805649884,4.83633E-05,3.935142102,3.935190466
12,4000,420,0.350323999,38832.26182,122321.6247,394.6425913,32.61916245,47763.70384,50.98156171,2.00282769,4.85208E-05,4.438677,4.438725521
13,4500,420,0.393554821,43481.00903,136965.1784,438.657964,36.52403403,53481.59273,56.51136735,2.224820562,4.83583E-05,5.008728364,5.008776722
14,5000,420,0.436939768,48841.94028,153852.1119,495.2340453,41.02718381,60075.60424,63.39994442,2.407016716,4.85233E-05,5.474591183,5.474639706
15,5500,420,0.480161732,53492.49228,168501.3507,539.2824485,44.93366595,65795.71718,68.92644677,2.628653555,4.8317E-05,6.044379264,6.044427581
16,6000,420,0.523500912,59117.74673,186220.9022,600.4051752,49.65890424,72714.78278,76.13367154,2.79972027,4.84801E-05,6.482307353,6.482355833
17,6500,420,0.566847745,64654.4893,203661.6413,659.7346906,54.30979448,79524.97226,83.31219343,2.973482609,4.85625E-05,6.928133888,6.92818245
18,7000,420,0.610078646,69296.28661,218283.3028,703.6272208,58.20882167,85234.3853,88.82860852,3.195863577,4.83951E-05,7.499228625,7.49927702
19,7500,420,0.65331301,73940.7724,232913.4331,747.5754791,62.11029725,90947.20364,94.35256055,3.41830277,4.82613E-05,8.070027136,8.070075398
